sample_id,cutting_speed,feed_rate,depth_of_cut,tool_nose_radius,material_hardness,tool_life,cutting_force,surface_roughness,power_consumption,material_removal_rate
2091,105.36,0.256,1.79,0.81,263.2,270.94,1133.91,0.0019,2.234,49.76
2092,144.62,0.399,2.71,1.01,155.1,201.64,1732.8,0.0033,4.206,155.84
2093,66.81,0.284,0.62,0.64,238.0,358.91,443.43,0.0035,0.461,12.43
2094,275.03,0.132,2.6,1.06,198.3,277.37,644.28,0.0003,3.19,98.74
2095,84.73,0.288,3.0,0.53,292.1,238.4,2466.44,0.0041,3.383,74.77
2096,247.79,0.22,0.84,0.74,163.6,265.76,280.84,0.0012,1.274,49.46
2097,192.16,0.236,2.31,0.95,242.9,238.29,1434.12,0.0011,4.472,103.53
2098,90.58,0.454,1.36,0.5,240.0,243.26,1450.06,0.0119,2.155,52.9
2099,147.01,0.343,2.14,0.86,298.2,211.54,2245.29,0.0027,5.17,105.72
2100,181.47,0.308,1.94,1.0,295.7,208.86,1695.89,0.0017,4.999,100.02
2101,227.97,0.393,0.55,0.72,283.5,227.61,550.73,0.0038,2.246,47.52
2102,74.94,0.427,0.72,0.63,156.9,282.64,440.48,0.0075,0.583,23.92
2103,293.49,0.239,0.6,0.43,263.9,258.1,405.62,0.0024,1.902,42.55
2104,271.46,0.415,1.69,0.65,226.1,198.42,1591.38,0.0048,6.799,211.22
2105,109.9,0.274,1.03,1.1,223.2,282.37,595.54,0.0017,1.154,31.27
2106,122.24,0.363,1.19,1.06,196.2,243.36,852.7,0.0029,1.661,49.84
2107,139.05,0.205,2.03,0.68,196.4,296.87,805.88,0.0012,1.722,54.77
2108,107.83,0.354,2.21,0.77,158.4,254.15,1173.35,0.0035,2.182,84.23
2109,254.6,0.107,1.96,1.1,182.6,332.46,392.74,0.0002,1.56,51.55
2110,144.5,0.257,2.69,0.89,210.9,252.78,1463.82,0.0014,3.468,98.22
2111,155.27,0.12,2.14,0.46,158.7,360.04,420.03,0.0006,0.956,37.86
2112,299.49,0.313,1.44,0.71,179.2,174.71,830.46,0.0023,3.93,135.33
2113,64.58,0.161,2.87,0.83,159.5,337.79,730.69,0.0009,0.837,31.18
2114,212.77,0.393,0.72,0.98,170.5,224.46,479.36,0.0029,1.714,60.04
2115,65.6,0.352,0.7,0.54,188.8,298.82,450.89,0.0069,0.508,15.75
2116,294.86,0.144,0.75,1.0,196.8,316.84,221.24,0.0003,1.038,34.51
2117,240.5,0.306,2.82,0.61,186.0,193.65,1734.18,0.0029,6.497,202.45
2118,143.61,0.399,2.52,0.84,150.3,212.2,1570.95,0.0037,3.333,139.48
2119,189.7,0.48,2.02,0.64,245.8,169.28,2548.39,0.007,7.715,174.5
2120,157.54,0.107,1.85,1.19,202.5,381.76,410.3,0.0002,0.972,33.49
2121,203.83,0.337,2.78,0.76,183.8,200.0,1699.95,0.0025,5.437,195.98
2122,91.56,0.337,2.4,0.67,236.7,244.5,1891.5,0.0046,3.297,65.32
2123,167.17,0.354,2.83,0.88,278.6,203.86,2810.95,0.0028,8.304,156.07
2124,161.47,0.133,1.44,1.2,157.3,379.98,309.5,0.0003,0.891,30.02
2125,72.84,0.485,1.58,0.93,229.7,249.18,1731.99,0.0074,2.406,54.2
2126,76.68,0.324,0.68,0.84,232.9,320.1,536.27,0.0036,0.654,18.64
2127,92.25,0.443,2.83,1.02,291.1,221.06,3808.78,0.0049,5.283,115.33
2128,217.2,0.374,1.22,0.42,180.0,194.92,806.2,0.0057,2.786,100.32
2129,211.41,0.282,1.67,0.73,184.9,227.14,899.19,0.0017,3.325,100.52
2130,139.7,0.387,1.95,1.17,207.8,226.5,1666.75,0.0026,3.48,101.08
2131,202.55,0.464,1.64,1.19,238.9,163.98,1789.45,0.0031,6.135,154.67
2132,170.09,0.159,1.58,1.0,218.8,315.68,534.56,0.0005,1.554,46.73
2133,65.54,0.261,1.54,0.67,233.7,345.28,896.95,0.0027,1.005,26.81
2134,204.78,0.302,1.26,0.98,232.7,256.11,877.74,0.0017,3.086,78.16
2135,103.66,0.138,1.83,1.0,211.8,384.99,532.93,0.0005,0.846,25.43
2136,145.65,0.24,2.12,0.49,163.9,270.26,918.75,0.0022,2.003,78.92
2137,272.41,0.381,0.65,0.94,186.1,208.28,438.71,0.0026,2.164,71.5
2138,202.96,0.367,1.09,0.76,245.0,228.7,1012.35,0.0033,3.205,89.13
2139,163.93,0.479,0.95,0.94,236.5,196.61,1053.39,0.0046,2.804,77.67
2140,197.74,0.314,2.61,0.98,274.8,212.16,2120.73,0.0019,7.536,158.1
2141,228.46,0.472,2.29,0.86,184.5,164.27,2053.72,0.0044,8.412,218.9
2142,238.48,0.412,2.11,1.15,297.3,186.16,2747.15,0.0025,10.008,195.12
2143,275.42,0.422,0.68,0.6,272.9,198.21,725.12,0.0051,3.454,83.03
2144,251.6,0.314,2.48,0.62,226.2,202.01,1774.47,0.0028,7.371,202.17
2145,246.72,0.342,1.11,0.55,280.0,221.08,1018.52,0.0039,4.169,103.72
2146,89.66,0.313,1.2,0.48,220.0,274.78,837.61,0.005,1.207,33.31
2147,250.84,0.276,0.87,0.48,194.7,240.72,454.27,0.0029,1.921,56.63
2148,188.83,0.112,2.07,0.72,151.5,383.33,368.64,0.0003,1.172,38.6
2149,225.16,0.333,0.7,0.91,253.1,242.81,622.82,0.0021,2.199,53.8
2150,276.07,0.276,2.31,1.05,225.8,213.72,1429.96,0.0012,6.362,184.58
2151,284.7,0.188,2.66,0.61,295.6,237.96,1523.4,0.001,7.524,149.5
2152,104.45,0.457,2.17,1.09,293.5,209.52,2965.99,0.0042,5.38,96.74
2153,109.6,0.295,1.04,0.79,293.5,297.37,881.48,0.0028,1.666,34.24
2154,102.84,0.116,0.87,1.17,219.3,468.43,234.51,0.0003,0.35,9.78
2155,241.14,0.246,2.54,0.48,252.0,227.34,1652.3,0.0021,6.877,143.23
2156,283.58,0.108,0.53,1.02,247.0,406.55,128.08,0.0002,0.659,18.28
2157,268.44,0.224,2.25,1.09,180.4,224.35,903.72,0.0008,3.825,121.05
2158,204.7,0.46,1.33,1.08,164.0,186.91,972.74,0.0034,3.316,123.21
2159,226.49,0.221,0.61,0.85,275.2,300.9,405.74,0.0009,1.418,30.92
2160,98.47,0.393,1.75,1.0,224.2,234.87,1474.57,0.0046,2.368,61.25
2161,178.8,0.308,2.88,0.92,191.6,188.51,1892.25,0.0019,5.348,172.57
2162,94.43,0.113,1.34,0.74,159.3,443.53,257.22,0.0004,0.371,14.39
2163,281.69,0.254,0.73,0.64,224.7,252.05,415.59,0.0016,2.03,48.29
2164,140.25,0.438,2.29,0.48,243.7,190.87,2391.18,0.0078,5.615,148.42
2165,94.01,0.496,1.55,0.48,168.1,234.96,1324.49,0.0134,2.104,72.85
2166,161.03,0.274,1.75,0.96,205.1,252.81,847.1,0.0014,2.747,75.08
2167,221.73,0.409,2.34,0.67,299.9,154.13,2818.65,0.0045,10.341,202.3
2168,163.09,0.44,2.45,1.08,190.8,169.71,2131.81,0.0034,5.409,179.28
2169,211.99,0.424,0.85,1.03,299.9,197.13,1106.31,0.0032,3.656,83.27
2170,232.63,0.39,2.08,1.04,217.3,185.23,1674.24,0.0025,6.346,188.07
2171,252.2,0.317,0.52,0.78,193.7,243.49,282.69,0.0022,1.415,42.88
2172,289.81,0.171,1.83,0.43,224.9,268.12,668.73,0.0012,3.406,84.76
2173,110.2,0.151,2.39,0.95,241.5,364.58,892.24,0.0006,1.476,41.36
2174,145.38,0.17,2.31,0.97,180.1,305.5,718.33,0.0006,1.643,61.79
2175,267.65,0.173,2.22,0.68,297.1,255.06,1073.11,0.0008,5.107,101.88
2176,233.06,0.284,2.19,0.83,244.5,231.38,1602.07,0.0017,5.684,132.14
2177,243.6,0.247,0.91,0.6,182.2,232.48,404.11,0.0019,1.604,59.04
2178,272.43,0.493,2.17,1.09,226.2,157.72,2613.0,0.0038,10.323,266.75
2179,146.67,0.454,2.63,0.88,190.9,196.0,2005.48,0.0044,5.385,172.89
2180,185.78,0.221,2.15,0.66,214.7,251.24,1022.86,0.0014,3.185,91.52
2181,84.87,0.363,2.42,0.86,283.9,251.54,2387.74,0.004,3.6,77.95
2182,50.36,0.241,2.64,0.42,150.5,337.74,958.07,0.0042,0.852,29.0
2183,110.93,0.426,0.77,0.79,245.2,253.24,805.4,0.0051,1.602,37.1
2184,108.71,0.217,1.92,1.19,182.6,296.35,761.6,0.0009,1.388,45.79
2185,51.52,0.385,0.99,0.5,200.6,286.99,760.68,0.0091,0.668,20.11
2186,229.97,0.361,0.86,0.88,169.7,233.62,476.3,0.0025,2.039,69.97
2187,81.85,0.457,2.42,1.2,188.1,217.63,1928.18,0.0048,2.733,91.91
2188,81.81,0.129,2.23,0.8,242.7,417.91,721.69,0.0006,0.956,22.37
2189,298.16,0.109,1.87,0.65,225.5,329.62,426.41,0.0003,2.477,62.06
2190,116.63,0.253,1.17,1.06,258.7,293.6,775.46,0.0014,1.406,34.46
2191,289.63,0.115,2.82,0.54,286.9,309.3,903.62,0.0004,3.968,93.21
2192,216.88,0.49,2.02,0.98,163.2,161.07,1789.13,0.0043,6.103,202.52
2193,114.84,0.25,1.26,0.6,157.5,305.43,501.66,0.0023,0.771,38.19
2194,193.63,0.215,2.16,0.8,200.2,264.73,966.71,0.0011,2.953,90.06
2195,103.74,0.466,0.97,0.44,199.1,239.8,924.54,0.0122,1.607,47.43
2196,73.09,0.124,2.01,1.17,225.4,420.17,533.21,0.0004,0.697,19.12
2197,182.12,0.451,2.53,0.46,180.3,178.18,1988.68,0.0088,6.054,190.34
2198,161.3,0.464,0.76,0.62,230.6,224.82,873.48,0.006,2.222,62.08
2199,259.49,0.484,2.01,0.82,152.7,157.43,1480.49,0.0048,6.829,234.99
2200,183.92,0.338,1.68,0.62,292.9,217.35,1505.48,0.0036,4.999,106.9
2201,119.66,0.255,2.77,1.08,227.4,235.47,1556.66,0.0013,3.138,89.48
2202,296.41,0.247,1.38,0.91,294.2,235.42,1083.07,0.0012,5.065,113.02
2203,184.33,0.325,2.73,0.68,181.2,201.99,1493.81,0.0027,5.173,163.22
2204,204.36,0.442,0.92,1.12,240.3,202.43,959.64,0.0032,3.347,73.89
2205,206.88,0.121,2.38,0.4,196.0,326.79,499.84,0.0006,2.042,58.13
2206,283.71,0.449,1.81,1.11,288.1,152.96,2264.43,0.0032,10.564,231.32
2207,216.89,0.145,0.86,0.77,292.7,361.08,381.7,0.0005,1.341,25.8
2208,200.15,0.444,0.51,0.55,183.0,221.27,402.65,0.0067,1.388,45.29
2209,282.5,0.39,1.16,1.14,250.1,197.08,1233.25,0.0022,5.097,126.46
2210,229.74,0.43,2.32,0.58,293.5,187.51,2741.31,0.0055,12.01,237.75
2211,166.33,0.414,1.71,0.71,228.9,204.56,1717.85,0.0047,4.711,106.29
2212,277.47,0.491,1.07,0.55,251.5,170.06,1315.81,0.008,5.937,145.19
2213,168.14,0.332,1.05,0.82,151.7,256.59,474.18,0.0024,1.566,62.62
2214,145.21,0.103,1.13,0.91,160.9,447.3,180.42,0.0002,0.48,17.47
2215,286.39,0.223,2.52,0.88,296.3,223.82,1799.99,0.001,7.972,173.98
2216,248.91,0.204,0.81,0.74,291.5,320.48,481.4,0.0009,2.028,44.15
2217,293.0,0.167,1.53,0.48,186.4,266.07,493.67,0.0009,2.241,72.05
2218,244.46,0.485,1.31,0.95,188.7,176.22,1232.17,0.0045,5.485,147.27
2219,195.01,0.383,0.58,0.85,175.6,224.09,399.23,0.0029,1.239,39.5
2220,140.0,0.359,1.68,1.17,202.9,214.58,1278.78,0.0025,2.93,82.87
2221,119.82,0.102,1.04,0.96,265.6,421.86,274.41,0.0002,0.581,13.61
2222,101.44,0.203,2.54,0.57,200.1,314.88,1137.22,0.0019,1.746,54.22
2223,89.77,0.346,2.68,0.77,258.6,228.24,2378.98,0.0042,3.69,84.15
2224,194.09,0.174,0.82,0.61,165.5,317.79,236.91,0.0009,0.709,31.27
2225,226.4,0.119,0.7,0.45,213.5,373.79,152.79,0.0005,0.697,19.77
2226,201.83,0.474,1.56,1.05,207.0,175.81,1584.24,0.004,4.845,143.88
2227,126.32,0.372,2.72,0.94,274.2,203.09,2680.62,0.0032,5.901,121.95
2228,131.95,0.188,1.67,0.93,207.7,324.94,680.01,0.0008,1.34,41.88
2229,247.38,0.266,1.98,0.44,297.9,232.92,1594.98,0.0028,6.161,133.7
2230,57.76,0.446,1.49,0.61,234.3,279.32,1495.34,0.0108,1.5,37.73
2231,132.36,0.275,2.91,0.69,207.2,244.45,1580.11,0.0025,4.066,106.72
2232,64.51,0.378,2.27,0.69,183.0,251.87,1646.22,0.0061,1.708,58.81
2233,146.89,0.341,1.02,0.73,289.1,240.81,1059.81,0.0031,2.635,47.46
2234,150.58,0.11,1.69,0.75,263.5,379.26,475.36,0.0003,1.171,27.1
2235,134.22,0.25,1.43,1.18,184.9,312.33,680.65,0.0011,1.539,50.49
2236,151.33,0.322,1.13,0.43,275.4,255.03,1049.91,0.0046,2.385,59.37
2237,259.42,0.138,1.91,1.01,267.9,297.73,709.16,0.0003,2.988,71.1
2238,156.28,0.422,0.72,1.09,196.7,217.05,622.36,0.0031,1.626,42.1
2239,223.15,0.281,0.82,1.1,214.3,233.54,496.89,0.0012,1.721,53.72
2240,250.09,0.368,2.13,0.74,294.3,190.3,2118.83,0.0034,9.205,192.87
2241,135.3,0.343,2.25,0.56,177.8,236.18,1387.25,0.0044,3.307,102.25
2242,181.29,0.197,1.02,0.72,279.0,287.48,575.15,0.0009,1.812,36.59
2243,220.76,0.372,2.09,0.8,227.9,181.88,1905.1,0.0032,6.871,187.15
2244,88.96,0.184,1.15,1.14,263.9,341.46,572.27,0.0008,0.892,19.95
2245,203.58,0.412,0.69,0.65,197.9,208.88,561.41,0.0041,1.86,52.53
2246,141.94,0.394,2.01,0.92,181.6,204.6,1405.43,0.0034,3.301,111.9
2247,217.48,0.357,2.76,0.49,197.3,187.76,1929.83,0.0044,7.081,215.11
2248,230.73,0.313,2.71,0.76,172.5,192.4,1523.23,0.0024,6.076,204.41
2249,243.41,0.468,1.96,1.02,263.0,159.39,2316.96,0.0036,9.631,223.44
2250,124.35,0.29,0.77,0.5,219.5,300.24,504.21,0.0034,1.153,26.05
2251,86.64,0.417,1.66,1.03,255.6,229.84,1785.47,0.0042,2.305,55.44
2252,185.64,0.493,2.53,1.12,154.4,164.46,1773.57,0.0039,6.65,234.33
2253,170.43,0.281,2.46,0.47,282.4,225.42,2040.24,0.0031,5.575,119.27
2254,73.32,0.167,1.31,0.48,272.3,384.52,614.11,0.0014,0.663,18.52
2255,57.79,0.375,1.72,1.03,272.3,264.14,1622.0,0.004,1.661,35.72
2256,131.98,0.27,2.14,0.62,157.6,266.17,895.95,0.0025,2.006,69.26
2257,98.33,0.378,1.84,0.88,263.3,236.07,1854.36,0.0044,3.136,60.55
2258,203.11,0.16,1.54,0.67,202.6,304.22,474.12,0.0007,1.713,45.79
2259,246.85,0.12,0.99,0.57,298.9,350.6,337.13,0.0004,1.41,28.61
2260,81.15,0.419,1.74,0.9,199.7,217.54,1490.33,0.0057,1.849,60.16
2261,263.06,0.148,2.74,0.46,202.3,262.72,870.0,0.0009,3.638,111.96
2262,283.98,0.17,2.48,0.45,282.5,243.41,1283.7,0.0012,5.523,110.11
2263,160.96,0.431,1.35,0.47,286.7,217.07,1536.36,0.0069,4.511,92.84
2264,104.38,0.355,2.7,0.43,274.3,246.11,2510.4,0.0077,4.376,98.05
2265,148.06,0.429,1.01,1.09,224.7,222.59,1051.85,0.0031,2.27,60.25
2266,233.38,0.224,1.0,1.05,270.8,316.3,599.5,0.0008,2.597,53.11
2267,271.47,0.375,2.7,0.67,190.8,163.88,1905.37,0.0039,8.426,281.28
2268,238.96,0.32,1.17,0.8,254.5,203.27,965.63,0.0022,4.004,88.45
2269,219.04,0.472,0.85,0.72,160.0,176.65,635.29,0.0059,2.237,93.35
2270,261.08,0.314,2.86,0.46,227.1,194.65,2186.08,0.0035,8.518,268.83
2271,241.57,0.257,1.6,0.83,209.2,221.34,836.12,0.0014,3.559,96.88
2272,194.88,0.482,1.08,0.79,296.6,195.7,1607.83,0.0054,4.858,103.56
2273,202.29,0.344,2.32,0.93,160.3,178.23,1407.91,0.0022,4.089,151.93
2274,81.14,0.267,2.97,0.63,229.7,270.45,1909.68,0.0031,2.373,67.46
2275,52.8,0.356,0.83,1.06,266.8,312.81,735.93,0.0037,0.664,15.9
2276,97.51,0.351,2.98,1.11,239.0,228.49,2508.72,0.0025,4.346,100.97
2277,74.38,0.354,0.74,0.7,213.5,303.43,568.45,0.0051,0.677,18.21
2278,83.06,0.343,2.32,0.79,186.9,258.25,1662.24,0.004,1.948,67.15
2279,262.32,0.394,2.72,0.99,285.5,170.01,3055.81,0.0027,13.75,302.65
2280,93.79,0.236,1.29,0.61,201.5,336.62,620.78,0.0025,0.993,28.37
2281,136.51,0.123,2.83,0.45,261.2,373.97,935.27,0.0007,2.205,46.71
2282,120.66,0.22,1.99,1.2,227.6,286.01,1067.59,0.0008,1.963,50.47
2283,111.29,0.495,0.67,1.07,203.3,244.4,714.66,0.0053,1.235,35.45
2284,288.01,0.38,2.39,1.01,159.1,172.52,1340.08,0.0024,6.318,259.22
2285,260.24,0.158,1.89,0.94,184.4,275.36,575.08,0.0005,2.242,77.74
2286,206.95,0.337,0.57,0.47,173.5,242.23,322.21,0.0038,1.103,40.05
2287,269.04,0.311,0.72,0.77,273.3,242.57,584.83,0.002,2.659,59.36
2288,112.71,0.373,1.46,0.91,230.4,218.26,1284.19,0.0035,2.377,67.27
2289,95.5,0.203,1.05,0.46,202.2,322.11,476.79,0.0022,0.703,20.44
2290,264.39,0.418,2.88,0.58,242.6,166.01,3048.16,0.0053,12.843,340.28
2291,57.6,0.378,2.84,0.71,153.2,243.53,1610.71,0.0062,1.573,62.31
2292,125.38,0.412,1.81,1.17,222.2,214.1,1836.05,0.0031,3.588,90.32
2293,263.19,0.299,1.39,0.84,170.0,204.01,760.76,0.0019,3.335,106.04
2294,68.67,0.123,0.81,0.76,181.7,534.55,170.64,0.0006,0.188,6.45
2295,68.5,0.194,0.64,0.89,269.4,414.32,321.03,0.0011,0.378,8.85
2296,79.79,0.3,2.12,0.88,257.1,271.33,1590.99,0.003,2.101,49.73
2297,73.8,0.201,0.76,0.66,230.7,409.17,354.19,0.0018,0.425,11.02
2298,93.26,0.177,2.41,0.45,299.6,380.54,1371.75,0.0019,1.891,35.69
2299,116.28,0.47,1.23,0.75,202.6,211.66,1208.94,0.0064,2.432,65.6
2300,227.24,0.177,1.91,0.99,245.0,298.75,853.74,0.0006,3.135,78.62
2301,110.58,0.436,1.7,0.91,269.1,198.04,2033.04,0.005,3.703,81.69
2302,204.64,0.344,2.8,0.6,185.9,209.17,1804.16,0.0039,5.876,218.86
2303,255.57,0.172,2.24,1.03,217.1,254.45,812.54,0.0005,3.325,92.6
2304,174.68,0.381,2.43,0.71,249.5,185.59,2437.74,0.0039,7.197,171.04
2305,293.64,0.483,2.64,0.41,282.9,151.92,3748.3,0.0092,17.489,356.95
2306,254.36,0.378,0.52,0.72,156.3,211.65,315.15,0.0035,1.291,50.36
2307,150.11,0.407,2.67,0.67,249.1,178.94,2480.43,0.0048,6.895,149.04
2308,88.5,0.424,0.67,0.48,201.3,264.73,547.96,0.0109,0.822,24.53
2309,155.39,0.212,2.74,0.67,236.8,232.77,1430.56,0.0012,3.443,94.75
2310,220.39,0.382,1.91,0.88,236.2,193.01,1670.69,0.0025,5.931,156.09
2311,58.84,0.21,2.97,0.62,249.6,328.6,1592.04,0.0021,1.412,38.2
2312,218.38,0.438,0.93,0.76,197.9,205.82,789.13,0.004,2.805,82.82
2313,107.47,0.308,1.52,0.64,158.1,269.17,795.57,0.0036,1.306,51.88
2314,199.91,0.442,1.52,1.15,285.4,181.42,1848.01,0.003,6.254,135.39
2315,191.06,0.256,2.08,1.16,175.5,231.14,871.05,0.001,3.006,87.49
2316,239.46,0.257,1.33,1.06,277.5,231.41,896.29,0.0011,3.416,79.65
2317,156.22,0.402,2.6,1.18,161.1,188.82,1747.5,0.0025,3.961,167.05
2318,101.4,0.212,1.57,0.54,294.6,315.4,1045.9,0.0021,1.769,32.78
2319,178.28,0.355,1.86,0.78,216.5,197.44,1227.88,0.0029,4.465,118.21
2320,208.21,0.389,1.99,0.91,236.8,189.4,1802.71,0.0029,6.826,156.33
2321,114.12,0.2,2.04,1.05,217.8,320.0,908.13,0.0009,1.699,44.28
2322,152.12,0.139,1.17,0.42,281.5,395.1,469.91,0.001,1.198,25.48
2323,72.94,0.232,2.27,1.17,297.1,318.07,1489.07,0.0014,1.792,37.96
2324,283.47,0.142,2.32,0.9,163.2,271.93,527.15,0.0004,2.854,87.47
2325,105.61,0.164,3.0,0.64,210.8,314.17,1056.17,0.0011,1.901,51.09
2326,237.43,0.191,2.11,1.14,224.5,252.14,920.93,0.0006,3.327,90.8
2327,225.4,0.31,1.46,0.46,239.5,194.15,1103.22,0.0038,3.871,100.06
2328,254.08,0.477,1.47,0.98,211.6,181.96,1487.12,0.0041,6.029,172.46
2329,211.11,0.111,1.98,0.63,250.4,335.25,564.29,0.0003,1.965,46.62
2330,277.81,0.213,0.57,0.92,240.4,300.39,294.45,0.0008,1.344,36.42
2331,247.49,0.3,0.74,0.71,289.8,238.58,620.11,0.0021,2.768,57.32
2332,278.05,0.255,1.79,0.77,289.2,229.0,1354.03,0.0015,6.0,124.34
2333,65.02,0.371,1.43,1.09,260.1,273.17,1368.48,0.0035,1.578,35.05
2334,164.02,0.423,2.46,0.73,225.1,190.05,2393.58,0.0048,6.182,185.02
2335,88.95,0.208,0.75,1.09,194.4,367.15,318.59,0.0011,0.449,13.95
2336,234.23,0.392,0.52,0.58,223.8,234.07,454.27,0.0048,1.771,49.07
2337,234.34,0.432,0.76,0.87,171.4,202.11,590.68,0.0035,2.485,81.7
2338,69.71,0.3,2.28,0.44,264.0,295.74,1849.48,0.0061,2.069,47.35
2339,99.87,0.45,2.26,0.42,151.4,199.85,1492.32,0.0118,2.77,107.68
2340,285.49,0.481,2.15,0.4,203.8,154.57,2509.57,0.0102,10.084,305.68
2341,256.08,0.21,2.33,0.94,221.0,233.96,1094.89,0.0008,4.403,128.36
2342,226.2,0.397,2.72,0.58,298.3,179.03,3045.02,0.0046,13.246,255.77
2343,211.32,0.299,0.82,0.41,168.7,246.34,409.4,0.0039,1.421,55.18
2344,73.94,0.327,1.2,0.93,248.7,279.84,870.66,0.0034,1.292,26.71
2345,81.63,0.363,1.07,0.42,212.8,268.2,782.87,0.0083,1.237,30.62
2346,204.12,0.475,1.79,0.78,182.0,170.75,1586.75,0.0044,5.209,179.4
2347,286.65,0.167,1.15,1.05,227.7,294.37,479.57,0.0005,2.143,55.53
2348,195.99,0.286,1.86,1.05,241.9,229.98,1294.08,0.0013,4.522,109.81
2349,53.46,0.287,2.36,0.8,266.9,323.0,1853.18,0.0031,1.581,35.67
2350,157.5,0.317,1.37,0.59,250.8,256.83,1018.24,0.0033,2.98,72.14
2351,162.41,0.448,2.7,0.67,163.8,162.49,1943.45,0.0053,5.894,204.12
2352,132.84,0.367,2.84,0.92,173.8,220.5,2031.96,0.003,4.208,151.53
2353,181.11,0.388,0.6,0.85,168.3,219.18,414.83,0.003,1.158,40.37
2354,225.75,0.36,0.73,0.86,172.1,222.35,415.13,0.0027,1.654,62.22
2355,289.38,0.169,1.7,0.45,243.1,269.57,652.59,0.0011,3.272,84.1
2356,112.81,0.389,1.2,0.81,287.3,254.46,1387.14,0.0041,2.488,56.57
2357,245.19,0.192,0.94,1.14,156.6,285.76,276.59,0.0006,1.046,43.78
2358,154.28,0.366,1.02,0.69,267.4,217.59,1063.13,0.0039,2.68,53.66
2359,50.06,0.421,2.56,0.96,161.5,258.09,1864.62,0.0058,1.374,52.67
2360,196.91,0.431,0.62,0.88,246.5,236.59,699.43,0.0036,2.208,54.34
2361,54.42,0.354,2.16,0.59,239.7,257.1,1695.94,0.0065,1.754,41.5
2362,156.65,0.352,0.59,0.46,162.2,249.68,357.03,0.0053,0.844,31.59
2363,157.73,0.233,1.96,0.67,208.9,255.41,967.09,0.0015,2.757,75.32
2364,189.29,0.414,1.88,0.49,271.4,197.02,2175.05,0.0061,6.403,147.77
2365,83.47,0.254,0.96,0.61,256.0,299.16,609.47,0.0029,0.881,19.76
2366,233.9,0.426,1.69,1.09,175.0,176.02,1233.55,0.0028,5.074,170.95
2367,69.27,0.118,0.77,0.4,254.5,497.48,215.52,0.001,0.277,6.08
2368,175.46,0.379,1.63,0.59,295.6,196.29,1852.45,0.0041,5.115,107.48
2369,138.04,0.405,1.02,0.87,255.0,231.6,1127.3,0.004,2.536,56.12
2370,55.45,0.215,0.62,0.92,165.1,432.95,233.95,0.0016,0.215,7.14
2371,132.16,0.292,2.67,0.6,165.1,252.35,1273.98,0.003,2.686,103.05
2372,275.56,0.4,2.81,0.95,177.7,165.08,1805.76,0.0031,9.27,333.17
2373,290.25,0.161,2.66,0.74,259.9,249.5,1057.52,0.0006,5.814,117.67
2374,76.61,0.296,1.61,0.57,195.0,292.21,863.74,0.0046,1.245,38.85
2375,276.21,0.341,0.63,0.72,161.1,219.17,341.27,0.0027,1.41,56.6
2376,165.85,0.385,1.42,0.84,195.5,225.91,990.72,0.0036,2.961,97.12
2377,160.85,0.296,2.17,0.58,207.9,232.62,1323.61,0.0029,3.97,96.98
2378,291.84,0.451,1.2,0.81,158.5,182.02,828.79,0.0043,4.067,161.7
2379,237.4,0.148,1.79,0.76,196.7,308.44,519.84,0.0005,2.06,62.42
2380,107.16,0.455,2.12,0.85,226.0,218.7,2269.12,0.006,3.926,105.9
2381,151.12,0.444,2.77,1.12,274.6,185.51,3198.63,0.0033,9.035,179.31
2382,108.22,0.291,1.91,0.88,290.4,275.28,1677.73,0.0024,2.976,57.81
2383,281.58,0.377,2.18,0.77,206.5,170.77,1614.35,0.0032,7.178,207.85
2384,184.58,0.354,2.89,0.92,282.6,214.56,3033.99,0.0022,9.551,190.91
2385,270.57,0.489,0.87,0.72,249.7,192.72,1005.53,0.0056,4.827,123.83
2386,160.63,0.316,1.66,0.8,180.5,234.33,965.08,0.0024,2.554,82.25
2387,256.53,0.499,1.95,0.45,267.1,158.2,2610.04,0.0094,11.359,246.42
2388,162.83,0.459,1.25,0.71,292.1,203.29,1566.47,0.0059,4.433,92.5
2389,224.73,0.263,0.65,0.96,225.5,254.79,413.9,0.0013,1.542,37.83
2390,90.18,0.435,2.14,0.67,227.4,245.43,2127.17,0.0074,3.189,82.28
2391,148.42,0.476,1.49,0.8,186.8,187.59,1347.67,0.0052,3.521,103.19
2392,58.05,0.376,0.7,0.59,174.0,313.13,450.74,0.0068,0.409,15.55
2393,200.39,0.246,0.93,0.87,266.8,264.09,630.89,0.0012,2.0,45.35
2394,129.09,0.262,2.8,0.46,266.6,263.38,1926.79,0.003,4.236,99.48
2395,69.94,0.322,2.56,1.19,258.6,268.09,2248.15,0.0024,2.63,60.67
2396,263.57,0.135,0.77,0.91,293.1,361.1,304.91,0.0004,1.404,25.7
2397,248.34,0.295,0.86,1.11,200.8,250.26,480.97,0.0015,2.246,62.74
2398,89.19,0.491,0.68,0.83,287.4,251.74,924.78,0.0077,1.383,30.0
2399,97.0,0.295,2.8,0.89,258.2,268.86,2032.51,0.0024,3.507,73.49
2400,120.06,0.317,2.27,0.99,174.7,246.83,1334.43,0.0021,2.72,87.23
2401,285.39,0.348,2.31,0.63,238.3,197.87,1893.45,0.0032,9.053,221.63
2402,260.76,0.251,2.58,0.93,226.4,216.69,1464.05,0.0012,6.282,160.46
2403,110.08,0.272,2.68,1.07,291.2,281.4,2038.91,0.0015,3.733,73.6
